# wl command inventory — ASUS GT-AC5300, firmware 3.0.0.4.386_51582
# Regenerate with scripts/wl-inventory.sh. See docs/10-wl-commands.md for the tier model.
#
# A = bare call reads, safe to sweep      B = bare call acts, exclude from sweeps
# C = transmits or needs arguments        D = persistent/regulatory/calibration, do not touch
#
command	tier	help
lifetime	A	Set Lifetime parameter (milliseconds) for each ac.
list_ie	A	
longtrain	A	Manufacturing test: set longtraining mode.
lpc_params	A	Set/Get Link Power Control params
lrl	A	
mac	A	wl mac xx:xx:xx:xx:xx:xx [xx:xx:xx:xx:xx:xx ...]
mac_rate_histo	A	Usage: wl mac_rate_histo <mac address> <access category> <num_pkts>
macmode	A	0 - Disable MAC address matching.
macreg	A	macreg offset size[2,4] [ value ] [ band ]
macregx	A	macreg offset size[2,4] [ value ] [ band ]
malloc_dump	A	Deprecated. Folded under 'wl dump malloc
manfinfo	D	show chip package info in OTP
maxpower	A	Set temp maxp2g(5g)a0(a1) value
measure_req	C	Send an 802.11h measurement request.
mempool	A	
memuse	A	Usage: wl memuse
mfp_assoc	C	send assoc
mfp_auth	C	send auth
mfp_config	A	Config PMF capability
mfp_deauth	C	send bogus deauth
mfp_disassoc	C	send bogus disassoc
mfp_reassoc	C	send reassoc
mfp_sa_query	C	Send a sa query req/resp to a peer
mfp_sha256	A	Config SHA256 capability
mimo_ps	A	
mimo_ss_stf	A	get/set SS STF mode.
mimo_txbw	A	get/set mimo txbw (2=20Mhz(lower), 3=20Mhz upper, 4=40Mhz, 4=40Mhz(DUP)
mkeep_alive	C	Send specified "mkeep-alive" packet periodically.
mode_reqd	A	Set/Get operational capabilities required for STA to associate to the BSS supported by the inte
modesw_timecal	A	Usage:
monitor	A	0 - disable
monitor_lq	A	Start/Stop monitoring link quality metrics - RSSI and SNR
monitor_lq_status	A	Returns averaged link quality metrics - RSSI and SNR values
monitor_promisc_level	A	Set a bitmap of different MAC promiscuous level of monitor mode.
mpc_dur	A	Usage: wl mpc_dur <any-number-to-clear>
mrate	A	valid values for 802.11a are (6, 9, 12, 18, 24, 36, 48, 54)
msglevel	A	set driver console debugging message bitvector
mu_group	A	Force the group recommendation result or set parameters for VASIP group recomendation
mu_policy	A	Configure the MU admission control policies
mu_rate	A	Usage: wl mu_rate { [auto | -1] | [[rate0] [rate1] [rate2] [rate3]]
mws_debug_msg	A	Get/Set LTE coex BT-SIG message
nar_clear_dump	B	Clear non-aggregated regulation counters
nd_hostip	A	Add a local host-ipv6 address or display them
nd_hostip_clear	B	Clear all host-ip addresses
nd_macaddr	A	Get/set the MAC address for offload
nd_remoteip	A	Add a local remote ipv6 address or display them
nd_solicitip	A	Add a local host solicit ipv6 address or display them
nd_status	A	Displays Neighbor Discovery Status
nd_status_clear	B	Clear neighbor discovery status
noise	A	
nrate	A	-r legacy rate (CCK, OFDM)
ns_hostip	A	Add a ns-ip address or display then
ns_hostip_clear	B	Clear all ns-ip addresses
nvget	A	
nvotpw	A	Usage: wl nvotpw file
nvram_get	D	get the value of an nvram variable
nvram_source	D	Display which source is used for nvram
nvset	A	name=value (no spaces around '=')
obss_coex_action	C	send OBSS 20/40 Coexistence Mangement Action Frame
obss_prot	A	Get/set OBSS protection (-1=auto, 0=disable, 1=enable)
obss_scan_params	A	set/get Overlapping BSS scan parameters
ofdm_txbw	A	get/set ofdm txbw (2=20Mhz(lower), 3=20Mhz upper, 4(not allowed), 5=40Mhz dup)
ol_arp_hostip	A	Add a host-ip address or display them
ol_clr	A	
ol_cons	A	Usage: ol_cons [<cmd>]
ol_eventlog	A	Give suboption "list" to list various suboptions
ol_nd_hostip	A	Add a local host-ipv6 address or display them
ol_notify_bcn_ie	A	Enable/Disable IE ID notification
ol_stats	A	Give suboption "list" to list various suboptions
ol_wowl_cons	A	Give suboption "list" to list various suboptions
olpc_anchoridx	D	Get the saved tx power idx and temperature at the olpc anchor power level:
ota_loadtest	B	Usage: ota_loadtest [filename]
ota_stream	B	Usage: wl ota_stream start : to start the test
ota_teststatus	B	Usage: otatest_statusDisplays current running test detailsotatest_status ndisplays test argumen
ota_teststop	B	Usage: ota_teststop
otpdump	D	
otpraw	D	Usage: wl otpraw <offset> <bits> [<data>]
otpstat	D	
otpw	D	Usage: wl otpw file
out	B	On dualband cards, cards must be bandlocked before use.
overlay	A	
p2p_da_override	A	Get/Set WiFi P2P device interface addr
p2p_if	A	Usage: wl p2p_if <MAC-address>
p2p_ifadd	A	add WiFi P2P interface
p2p_ifdel	A	delete WiFi P2P interface
p2p_ifupd	A	update an interface to WiFi P2P interface
p2p_noa	A	Usage: wl p2p_noa <type> <type-specific-params>
p2p_ops	A	Usage: wl p2p_ops <ops> [<ctw>]
p2p_scan	A	initiate WiFi P2P scan.
p2p_ssid	A	set WiFi P2P wildcard ssid.
p2p_state	A	set WiFi P2P discovery state.
p2po_addsvc	A	add query-service pair
p2po_delsvc	A	delete query-service pair
p2po_find	B	start discovery
p2po_find_config	B	set/get the parameters for the p2po_find command
p2po_gas_config	A	set GAS state machine tunable parameters
p2po_listen	B	start/get listen
p2po_listen_channel	B	set listen channel to channel 1, 6, 11, or default
p2po_results	A	Listens and displays P2PO results.
p2po_sd_cancel	A	cancel finding a service
p2po_sd_req_resp	A	find a service
p2po_stop	B	stop both P2P listen and P2P device discovery offload
p2po_wfds_advertise_del	C	usage: p2po_wfds_advertise_del <adv_hdl>
p2po_wfds_seek_add	C	Set usage: p2po_wfds_seek_add <seek_hdl> <service_hash> <macaddr> <service_name> [service_info_
p2po_wfds_seek_del	C	delete a WFDS service to seek
p2po_wfds_seek_dump	A	dump WFDS services to seek
passive	A	
pavars	A	usage: wl down
pcie_bus_tput	A	Measure the pcie bus througput
pcieserdesreg	A	g/set SERDES registers: dev offset [val]
perm_etheraddr	D	Get the permanent address from NVRAM
pfn	A	pfn syntax is: pfn 0|1
pfn_roam_alert_thresh	A	Get/Set PFN and roam alert threshold
pfnadd	A	pfnadd syntax is: pfnadd ssid <SSID> [hidden (0)|1][imode (bss)|ibss][amode (open)|shared] [wpa
pfnadd_bssid	A	Adding BSSID based preferred networks to monitor and connect
pfnbest	A	pfnbest syntax is: pfnbest
pfncfg	A	Usage: pfncfg [channel <list>] [report <type>] [prohibited 1|0]
pfnclear	B	Clear the preferred network list
pfneventchk	A	Listen and prints the preferred network off load event from dongle
pfnlbest	A	Get the best n networks in each scan, up to m scans, with 32bit timestmp
pfnmem	A	pfnmem syntax is: pfnmscan bestn [1-BESTN_MAX]
